#{"t_start": 1773698179.852567, "env_id": "None"}
r,l,t
-65.0,200,111.35988
-65.0,200,111.497445
-83.0,200,111.644458
-98.0,200,111.784842
-51.0,200,111.925785
-83.0,200,112.073623
-79.0,200,112.225439
-85.0,200,112.367077
-76.0,200,112.505761
-60.0,200,112.64358
-77.0,200,112.790601
-69.0,200,112.925542
-83.0,200,113.057888
-48.0,200,113.203192
-61.0,200,113.346304
-6.5,150,113.447916
-57.0,200,113.591698
-76.0,200,113.738909
-64.0,200,113.889098
-77.0,200,114.033952
-70.0,200,114.165855
-78.0,200,114.310783
-82.0,200,114.459862
-80.0,200,114.60156
-83.0,200,114.747034
-74.0,200,114.888443
13.78,122,114.975996
-53.0,200,115.121869
-64.0,200,115.266871
-76.0,200,115.404746
-65.0,200,115.548351
-92.0,200,115.689956
-74.0,200,115.829666
-67.0,200,115.957078
-64.0,200,116.097144
-60.0,200,116.24977
-85.0,200,116.383749
-59.0,200,116.525713
-60.0,200,116.683476
-95.0,200,116.823603
-65.0,200,116.960049
-26.69,169,117.076432
-67.0,200,117.216586
-48.0,200,117.377492
-89.0,200,117.518974
-57.0,200,117.656211
-82.0,200,117.799176
-60.0,200,117.928794
-73.0,200,118.05924
-66.0,200,118.192186
-85.0,200,118.337991
-68.0,200,118.481644
-31.0,200,118.621429
-18.0,200,118.754357
-63.0,200,118.904613
-52.0,200,119.03964
-1.0,200,119.170708
-60.0,200,119.310189
3.0,200,119.456262
-84.0,200,119.600303
-100.0,200,119.745555
-68.0,200,119.892793
-91.0,200,120.037269
34.89,111,120.109829
-40.0,200,120.256629
-86.0,200,120.400213
-72.0,200,120.54281
-86.0,200,120.686538
-70.0,200,120.824784
-71.0,200,120.962424
-83.0,200,121.13158
-79.0,200,121.27589
-78.0,200,121.423426
-62.0,200,121.57091
-79.0,200,121.717668
-58.0,200,121.862281
-15.82,182,121.999533
-78.0,200,122.147473
-74.0,200,122.296913
-71.0,200,122.436361
-68.0,200,122.575127
-54.0,200,122.725218
-63.0,200,122.864644
-66.0,200,123.012439
-87.0,200,123.15969
-88.0,200,123.310871
-62.0,200,123.474842
20.22,178,123.59791
-73.0,200,123.730784
-71.0,200,123.868876
-56.0,200,124.011498
-68.0,200,124.160321
-79.0,200,124.30164
-74.0,200,124.444671
-70.0,200,124.590424
-81.0,200,124.733501
-48.0,200,124.88009
-71.0,200,125.025257
-73.0,200,125.172166
-65.0,200,125.316475
-60.0,200,125.461115
-76.0,200,125.604542
-162.0,200,125.755446
-169.0,200,125.887377
-74.0,200,126.013494
-61.0,200,126.141307
-79.0,200,126.28705
-80.0,200,126.43314
-85.0,200,126.577413
-61.0,200,126.723018
-47.0,200,126.866032
-63.0,200,127.009572
-66.0,200,127.155678
-59.0,200,127.307634
-66.0,200,127.455675
-81.0,200,127.691698
-67.0,200,127.853514
-26.0,200,128.002718
-65.0,200,128.160004
-83.0,200,128.295511
-78.0,200,128.432503
-72.0,200,128.566285
-59.0,200,128.713145
-54.0,200,128.8425
-71.0,200,128.97725
-78.0,200,129.124764
-77.0,200,129.27146
-62.0,200,129.420631
-70.0,200,129.56293
7.0,200,129.710088
-85.0,200,129.850564
-49.0,200,129.986346
-82.0,200,130.128875
-71.0,200,130.272885
-61.0,200,130.426242
-58.0,200,130.567347
-54.0,200,130.714496
-58.0,200,130.85871
-77.0,200,131.005524
-64.0,200,131.148228
-75.0,200,131.297427
-66.0,200,131.443764
-71.0,200,131.588484
-70.0,200,131.732694
-69.0,200,131.873261
-67.0,200,132.019873
-88.0,200,132.162184
-86.0,200,132.305648
-59.0,200,132.453574
-70.0,200,132.606948
-77.0,200,132.774039
0.0,200,132.911171
-62.0,200,133.044524
-65.0,200,133.183568
22.55,145,133.289673
-85.0,200,133.420764
-6.88,188,133.5513
4.0,200,133.700093
-70.0,200,133.842969
-142.0,200,133.988401
-46.0,200,134.134766
-68.0,200,134.284994
-39.0,200,134.433134
-85.0,200,134.578923
-12.72,172,134.70491
-59.0,200,134.848685
-59.0,200,135.000131
-88.0,200,135.145143
-86.0,200,135.291969
-57.0,200,135.441674
-68.0,200,135.585237
-80.0,200,135.728283
-60.0,200,135.865643
-63.0,200,135.993823
-87.0,200,136.131208
-40.0,200,136.275895
-53.0,200,136.419778
-62.0,200,136.560619
-84.0,200,136.70651
-63.0,200,136.849988
-5.0,200,136.975706
-65.0,200,137.118254
-73.0,200,137.271123
-95.0,200,137.412758
-102.0,200,137.554078
-52.0,200,137.695651
-117.0,200,137.84204
-53.0,200,137.979313
-59.0,200,138.121047
-51.0,200,138.270343
-10.97,197,138.413788
-92.0,200,138.555857
-75.0,200,138.70245
-62.0,200,138.846825
-72.0,200,138.995593
-62.0,200,139.141253
-83.0,200,139.287618
-58.0,200,139.449584
-69.0,200,139.602475
-66.0,200,139.73948
-55.0,200,139.878303
-56.0,200,140.022856
-74.0,200,140.170293
-65.0,200,140.316082
-59.0,200,140.450117
-62.0,200,140.585532
-56.0,200,140.733113
-69.0,200,140.879621
-73.0,200,141.028896
-64.0,200,141.176799
-58.0,200,141.325841
17.0,200,141.471299
-77.0,200,141.619967
-68.0,200,141.763966
-65.0,200,141.925703
-58.0,200,142.072423
-79.0,200,142.207219
53.47,53,142.241138
-40.0,200,142.391392
-44.0,200,142.526385
42.1,90,142.588649
-39.0,200,142.724407
-52.0,200,142.864797
-58.0,200,142.997757
-62.0,200,143.137556
-61.0,200,143.282449
-48.0,200,143.429842
-59.0,200,143.57503
-36.0,200,143.722098
-65.0,200,143.86001
-58.0,200,144.012456
-54.0,200,144.156079
-69.0,200,144.303784
-55.0,200,144.45222
-75.0,200,144.602721
-81.0,200,144.747619
-47.0,200,144.896205
30.84,116,144.984211
-59.0,200,145.128226
-70.0,200,145.2628
-46.0,200,145.405172
-46.0,200,145.552298
15.0,200,145.701767
-66.0,200,145.842041
-103.0,200,145.967203
-47.0,200,146.108148
-46.0,200,146.265771
-41.0,200,146.52932
-31.0,200,146.669676
-77.0,200,146.807619
-48.0,200,146.959966
-94.0,200,147.101798
-71.0,200,147.240677
